"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"195","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"196","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"197","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.group.of.llamas","b. More than one thing",0,1,0,0,0,"Coll",37,0,1
"200","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"241","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.vase.of.cattails","a. One thing",0,0,0,0,1,"FullCont",1,1,0
"242","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"243","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"244","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"245","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"247","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.heap.of.blankets","a. One thing",0,1,0,0,0,"Coll",7,1,0
"248","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"249","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"250","R_2anLNzRi5YtjeAB",1,286032,379,23,"English","","No","a.matchbox.of.needles","a. One thing",0,0,0,0,1,"FullCont",10,1,0
